,epochs,train_loss,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.04405840683526769,0.6624203821656051,0.1942675159235669,0.006369426751592357,0.030512670213125512,0.7813163481953291,0.40764331210191085,0.08917197452229299
1,2,0.029029044697126433,0.7898089171974523,0.32802547770700635,0.028662420382165606,0.03562033234067477,0.7685774946921444,0.32908704883227174,0.055201698513800426
2,3,0.021156943122897842,0.8662420382165605,0.3853503184713376,0.044585987261146494,0.03144940678328088,0.7855626326963907,0.4033970276008493,0.0870488322717622
3,4,0.013967665926713472,0.9394904458598726,0.5382165605095541,0.06369426751592357,0.028969443003145776,0.821656050955414,0.4182590233545648,0.1040339702760085
4,5,0.009835877082055541,0.9904458598726115,0.5859872611464968,0.12101910828025478,0.028044514749277008,0.832271762208068,0.5095541401273885,0.12951167728237792
5,6,0.007433846258857899,0.9840764331210191,0.6656050955414012,0.1592356687898089,0.025700422130754234,0.8471337579617835,0.47983014861995754,0.14861995753715498
6,7,0.006158396591481332,0.9872611464968153,0.732484076433121,0.1624203821656051,0.026030117548877844,0.8450106157112527,0.5201698513800425,0.1592356687898089
7,8,0.005166314907667114,1.0,0.7643312101910829,0.18789808917197454,0.02724110903331467,0.8535031847133758,0.4861995753715499,0.20382165605095542
8,9,0.004860725585641161,0.9968152866242038,0.8057324840764332,0.21019108280254778,0.02441757413446209,0.8577494692144374,0.5307855626326964,0.19532908704883228
9,10,0.0042657528091503815,0.9968152866242038,0.8121019108280255,0.267515923566879,0.024012711762802445,0.8598726114649682,0.5265392781316348,0.1910828025477707
