,epochs,train_loss,train_similarities_acc,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_similarities_acc,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.5036242338021596,tensor(0.5400),0.9533333333333334,0.6733333333333333,0.48,0.45227670412510634,tensor(0.6067),1.0,0.8633333333333333,0.5366666666666666
1,2,0.3889112251003583,tensor(0.6658),0.9933333333333333,0.7266666666666667,0.5666666666666667,0.38995715450573093,tensor(0.6667),1.0,0.8233333333333334,0.5233333333333333
2,3,0.3143961223959923,tensor(0.7483),0.9866666666666667,0.7666666666666667,0.47333333333333333,0.30238734390586613,tensor(0.7467),1.0,0.8833333333333333,0.56
3,4,0.26349099973837536,tensor(0.7817),1.0,0.82,0.6133333333333333,0.27039819927730907,tensor(0.7567),0.9933333333333333,0.77,0.53
4,5,0.26077390074729917,tensor(0.7883),1.0,0.8133333333333334,0.54,0.25770343707874416,tensor(0.7800),0.9966666666666667,0.8766666666666667,0.5533333333333333
5,6,0.2323389449963967,tensor(0.8217),1.0,0.6933333333333334,0.52,0.24282470041885973,tensor(0.8233),0.9933333333333333,0.7733333333333333,0.47333333333333333
6,7,0.1919720385968685,tensor(0.8608),1.0,0.82,0.5133333333333333,0.22834833150729536,tensor(0.8333),1.0,0.8933333333333333,0.56
7,8,0.20318570874631406,tensor(0.8433),1.0,0.7,0.41333333333333333,0.2047630961491086,tensor(0.8533),1.0,0.9,0.6266666666666667
8,9,0.20185003593564033,tensor(0.8500),0.9933333333333333,0.7933333333333333,0.54,0.23153838314116001,tensor(0.8200),1.0,0.8533333333333334,0.5666666666666667
9,10,0.17054283280546467,tensor(0.8775),1.0,0.7866666666666666,0.4866666666666667,0.1919121198717039,tensor(0.8800),0.9866666666666667,0.8166666666666667,0.49333333333333335
