,epochs,train_loss,train_similarities_acc,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_similarities_acc,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.03208765637129545,tensor(0.),0.96,0.53,0.1,0.017106073990580627,tensor(0.5100),1.0,0.78,0.125
1,2,0.015464955009520054,tensor(0.),0.99,0.72,0.12,0.017736591004941148,tensor(0.4550),1.0,0.75,0.165
2,3,0.012039528018794954,tensor(0.),1.0,0.79,0.1,0.020667895899678115,tensor(0.4750),1.0,0.77,0.125
3,4,0.009152730195783079,tensor(0.),1.0,0.91,0.11,0.02035026864640713,tensor(0.5200),1.0,0.76,0.17
4,5,0.006970725327264517,tensor(0.),1.0,0.83,0.14,0.021049963551413385,tensor(0.5550),0.995,0.8,0.185
5,6,0.006046084482222796,tensor(0.0500),1.0,0.9,0.15,0.019842025385150917,tensor(0.4350),1.0,0.79,0.195
6,7,0.005491544367978349,tensor(0.1625),1.0,0.9,0.28,0.021410656814805407,tensor(0.5500),1.0,0.81,0.135
7,8,0.005378410532139242,tensor(0.2637),1.0,0.86,0.25,0.02001461319756345,tensor(0.5300),1.0,0.815,0.18
8,9,0.003959952396107838,tensor(0.4112),1.0,0.92,0.33,0.02114345272857463,tensor(0.5600),1.0,0.785,0.17
9,10,0.0042033089010510595,tensor(0.5263),1.0,0.88,0.24,0.018217851164808962,tensor(0.5500),1.0,0.84,0.23
10,11,0.00483534426195547,tensor(0.7000),1.0,0.91,0.26,0.01970564248942537,tensor(0.5950),1.0,0.835,0.185
11,12,0.0038857685291441156,tensor(0.7412),1.0,0.93,0.36,0.020179731805401387,tensor(0.6350),1.0,0.855,0.235
12,13,0.0033618629991542547,tensor(0.8200),1.0,0.94,0.32,0.01974201276691019,tensor(0.7100),1.0,0.835,0.19
13,14,0.003089355419506319,tensor(0.9212),1.0,0.95,0.49,0.021337320444290528,tensor(0.7550),1.0,0.84,0.17
14,15,0.0033337018184829504,tensor(0.9300),1.0,0.93,0.33,0.01965840019256575,tensor(0.7150),1.0,0.81,0.215
15,16,0.0030502731940941887,tensor(0.9463),1.0,0.97,0.48,0.020035444992245174,tensor(0.7350),1.0,0.845,0.23
16,17,0.0035292852763086557,tensor(0.9388),1.0,0.94,0.37,0.018381989005283685,tensor(0.7750),1.0,0.85,0.24
17,18,0.003055976827745326,tensor(0.9613),1.0,0.96,0.4,0.018094088421639752,tensor(0.7400),1.0,0.865,0.25
18,19,0.0027354118076618763,tensor(0.9675),1.0,0.93,0.48,0.020080422701867065,tensor(0.7750),1.0,0.885,0.23
19,20,0.0029676176386419684,tensor(0.9700),1.0,0.92,0.46,0.021364340555446688,tensor(0.8450),1.0,0.86,0.24
