,epochs,train_loss,train_similarities_acc,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_similarities_acc,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.05973542257522543,tensor(0.4892),0.9666666666666667,0.76,0.5533333333333333,0.0421393339249092,tensor(0.4833),1.0,0.85,0.5266666666666666
1,2,0.04648029857625564,tensor(0.4925),0.98,0.8266666666666667,0.5266666666666666,0.03431844265413626,tensor(0.5000),1.0,0.9233333333333333,0.61
2,3,0.04167270128925642,tensor(0.4950),1.0,0.8533333333333334,0.6133333333333333,0.034860246115519355,tensor(0.4733),1.0,0.9366666666666666,0.58
3,4,0.03907105656612354,tensor(0.5033),1.0,0.8466666666666667,0.47333333333333333,0.03296962275933675,tensor(0.5233),1.0,0.9433333333333334,0.59
4,5,0.040003751923407736,tensor(0.5100),1.0,0.8466666666666667,0.5333333333333333,0.03632876604899744,tensor(0.4733),1.0,0.92,0.58
5,6,0.03928967596031725,tensor(0.4833),1.0,0.8933333333333333,0.54,0.0318277447889947,tensor(0.4600),1.0,0.96,0.62
6,7,0.03731173287689065,tensor(0.4950),1.0,0.9066666666666666,0.62,0.03197581631238184,tensor(0.4967),1.0,0.9433333333333334,0.62
7,8,0.03461064256029203,tensor(0.4983),1.0,0.8933333333333333,0.5466666666666666,0.032586630774664324,tensor(0.4900),1.0,0.94,0.62
8,9,0.032967783830245026,tensor(0.5050),1.0,0.94,0.5733333333333334,0.03167967966466676,tensor(0.5367),1.0,0.94,0.6366666666666667
9,10,0.03162174396061649,tensor(0.5042),1.0,0.94,0.6666666666666666,0.030032167488049405,tensor(0.5300),1.0,0.9533333333333334,0.64
10,11,0.032332160142250356,tensor(0.4892),1.0,0.9333333333333333,0.6266666666666667,0.026812712332466616,tensor(0.4967),1.0,0.9733333333333334,0.7
11,12,0.0323301162236991,tensor(0.4767),1.0,0.98,0.58,0.028336245981045068,tensor(0.4967),1.0,0.9833333333333333,0.6666666666666666
