,epochs,train_loss,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.045492063393626526,0.6751592356687898,0.2070063694267516,0.006369426751592357,0.03201754398915792,0.7643312101910829,0.3184713375796178,0.044585987261146494
1,2,0.0304053859254286,0.8152866242038217,0.3248407643312102,0.028662420382165606,0.02842798855839832,0.8067940552016986,0.36942675159235666,0.08067940552016985
2,3,0.02015696044204531,0.8980891719745223,0.40764331210191085,0.028662420382165606,0.02925084565366735,0.8046709129511678,0.43524416135881105,0.12101910828025478
3,4,0.013080913832286599,0.9585987261146497,0.4745222929936306,0.0732484076433121,0.029516586210526035,0.8195329087048833,0.43736730360934184,0.08067940552016985
4,5,0.008441306928329905,0.9872611464968153,0.6751592356687898,0.10828025477707007,0.026809273859515613,0.851380042462845,0.4692144373673036,0.11677282377919321
5,6,0.006541795830633847,0.9808917197452229,0.7070063694267515,0.1592356687898089,0.028403844988346052,0.821656050955414,0.4267515923566879,0.12314225053078556
6,7,0.0055156948621782245,0.9968152866242038,0.7993630573248408,0.1942675159235669,0.027254637775067345,0.8428874734607219,0.4819532908704883,0.1316348195329087
7,8,0.00473066598286698,1.0,0.802547770700637,0.21656050955414013,0.025764633058078155,0.8343949044585988,0.5031847133757962,0.14225053078556263
8,9,0.004028098298100292,1.0,0.8280254777070064,0.21337579617834396,0.02674730078309285,0.8386411889596603,0.46284501061571126,0.15074309978768577
9,10,0.0037744925029288123,0.9968152866242038,0.89171974522293,0.30254777070063693,0.026646800149197424,0.8386411889596603,0.49469214437367304,0.16348195329087048
