,epochs,train_loss,train_similarities_acc,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_similarities_acc,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.013307730040512979,tensor(0.),0.984,0.71,0.084,0.007771729484098614,tensor(0.5030),1.0,0.855,0.229
1,2,0.008397804823704063,tensor(0.),1.0,0.824,0.158,0.007173335107021558,tensor(0.4840),1.0,0.838,0.221
2,3,0.006522999829612673,tensor(0.0100),1.0,0.886,0.252,0.005519441736656518,tensor(0.5090),1.0,0.898,0.271
3,4,0.005079652335261926,tensor(0.1063),1.0,0.908,0.272,0.005044176368368426,tensor(0.6000),1.0,0.926,0.318
4,5,0.003908260832540691,tensor(0.4108),1.0,0.946,0.348,0.004557964704854384,tensor(0.7480),1.0,0.931,0.336
5,6,0.0032334924060851335,tensor(0.6827),1.0,0.96,0.428,0.004468970541955059,tensor(0.8330),1.0,0.929,0.325
6,7,0.0030263750586891546,tensor(0.8525),1.0,0.976,0.42,0.0037570750394124845,tensor(0.8750),1.0,0.947,0.389
7,8,0.0026611429074546323,tensor(0.9477),1.0,0.978,0.514,0.0035558368601741677,tensor(0.8790),1.0,0.957,0.418
8,9,0.002466479112394154,tensor(0.9712),1.0,0.976,0.5,0.0035704005861844053,tensor(0.8850),1.0,0.956,0.369
9,10,0.002069833189365454,tensor(0.9870),1.0,0.988,0.522,0.0035749251330598783,tensor(0.8500),1.0,0.957,0.406
10,11,0.002063964231288992,tensor(0.9930),1.0,0.992,0.56,0.003184842086238859,tensor(0.8160),1.0,0.97,0.442
11,12,0.001906236229930073,tensor(0.9918),1.0,0.994,0.59,0.003397170569980517,tensor(0.7770),1.0,0.973,0.423
12,13,0.0018127230599056928,tensor(0.9937),1.0,0.988,0.64,0.0031042963688469173,tensor(0.7400),1.0,0.974,0.447
13,14,0.0016243699167389422,tensor(0.9962),1.0,0.992,0.6,0.003597513876287849,tensor(0.7090),1.0,0.949,0.362
14,15,0.0016117777815670706,tensor(0.9958),1.0,0.998,0.622,0.0028994756980609965,tensor(0.6790),1.0,0.974,0.49
15,16,0.0014014397605205885,tensor(0.9965),1.0,0.996,0.68,0.0029274012392857002,tensor(0.7220),1.0,0.968,0.444
16,17,0.0013801230749231764,tensor(0.9962),1.0,0.994,0.69,0.0033041955861754105,tensor(0.7200),1.0,0.957,0.423
17,18,0.001344183552020695,tensor(0.9980),1.0,0.998,0.694,0.002596751435969054,tensor(0.6660),1.0,0.978,0.554
18,19,0.0012874896457069553,tensor(0.9985),1.0,0.988,0.694,0.002590356837981744,tensor(0.6930),1.0,0.983,0.506
19,20,0.0013442347135860474,tensor(0.9973),1.0,0.996,0.69,0.0026567768300392344,tensor(0.6650),1.0,0.972,0.514
