,epochs,train_loss,train_similarities_acc,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_similarities_acc,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.061828674748539925,tensor(0.4842),0.9533333333333334,0.7266666666666667,0.52,0.052943974571923416,tensor(0.5100),0.9966666666666667,0.91,0.62
1,2,0.05411581498881181,tensor(0.5200),1.0,0.8466666666666667,0.58,0.0531535935215652,tensor(0.4733),0.9966666666666667,0.9233333333333333,0.6
2,3,0.05161815197517475,tensor(0.5392),1.0,0.8933333333333333,0.5266666666666666,0.048170349346473816,tensor(0.5633),1.0,0.9333333333333333,0.5833333333333334
3,4,0.0448739472279946,tensor(0.6317),1.0,0.8533333333333334,0.5666666666666667,0.03939970588816019,tensor(0.6600),1.0,0.93,0.6066666666666667
4,5,0.0394283645041287,tensor(0.6842),1.0,0.8466666666666667,0.56,0.04081687243238169,tensor(0.6500),1.0,0.9233333333333333,0.6066666666666667
5,6,0.03680055268108845,tensor(0.7217),1.0,0.8133333333333334,0.5466666666666666,0.03168766866457493,tensor(0.7500),1.0,0.9066666666666666,0.5733333333333334
6,7,0.031104689485703906,tensor(0.7658),1.0,0.8666666666666667,0.5333333333333333,0.031919639960105994,tensor(0.7200),1.0,0.9466666666666667,0.68
7,8,0.028328443647672733,tensor(0.7917),1.0,0.8133333333333334,0.46,0.02642475628449271,tensor(0.8167),1.0,0.8966666666666666,0.62
8,9,0.025457045783599218,tensor(0.8225),0.9933333333333333,0.86,0.5533333333333333,0.029801234997624607,tensor(0.7667),0.9966666666666667,0.86,0.56
9,10,0.025681462986394763,tensor(0.8175),1.0,0.8333333333333334,0.6,0.02457873832509601,tensor(0.8333),1.0,0.8533333333333334,0.5533333333333333
10,11,0.02491582293684284,tensor(0.8275),1.0,0.8666666666666667,0.5866666666666667,0.022389082538041595,tensor(0.8533),1.0,0.9233333333333333,0.59
11,12,0.024457824158792694,tensor(0.8292),1.0,0.8733333333333333,0.5933333333333334,0.024689734717831015,tensor(0.8333),0.9966666666666667,0.8533333333333334,0.5433333333333333
12,13,0.021110409990263482,tensor(0.8683),1.0,0.8666666666666667,0.52,0.019968982005957515,tensor(0.8933),1.0,0.9233333333333333,0.6033333333333334
13,14,0.020281421607360243,tensor(0.8850),1.0,0.82,0.52,0.023289985231228154,tensor(0.8400),1.0,0.94,0.5833333333333334
14,15,0.018609216942762335,tensor(0.8875),1.0,0.88,0.5466666666666666,0.02464855369995348,tensor(0.8367),1.0,0.8666666666666667,0.53
15,16,0.018013335509846608,tensor(0.8892),1.0,0.86,0.5466666666666666,0.02027898240160236,tensor(0.8733),1.0,0.9433333333333334,0.5933333333333334
16,17,0.015614839397991697,tensor(0.9242),1.0,0.9133333333333333,0.5666666666666667,0.02174415358022088,tensor(0.8733),1.0,0.8933333333333333,0.56
17,18,0.01767865992151201,tensor(0.8942),1.0,0.88,0.5733333333333334,0.022692428816032284,tensor(0.8333),1.0,0.9166666666666666,0.6333333333333333
18,19,0.01731993701308966,tensor(0.8950),1.0,0.86,0.5666666666666667,0.023844180740391796,tensor(0.8433),1.0,0.92,0.58
19,20,0.01680455952261885,tensor(0.9067),1.0,0.9,0.5466666666666666,0.019747745864818474,tensor(0.8800),1.0,0.9333333333333333,0.59
