,epochs,train_loss,train_similarities_acc,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_similarities_acc,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.018825371001536646,tensor(0.4817),0.9466666666666667,0.74,0.52,0.008228140253340826,tensor(0.4700),1.0,0.9233333333333333,0.5466666666666666
1,2,0.009971340664972862,tensor(0.5108),1.0,0.8666666666666667,0.5733333333333334,0.007404095591822018,tensor(0.5500),0.9966666666666667,0.9266666666666666,0.63
2,3,0.009019272417450945,tensor(0.5142),1.0,0.8866666666666667,0.5,0.0077151874320892,tensor(0.4800),1.0,0.9466666666666667,0.6033333333333334
3,4,0.008557584214334687,tensor(0.5225),1.0,0.8866666666666667,0.5666666666666667,0.0076761801502046485,tensor(0.4867),1.0,0.9366666666666666,0.6133333333333333
4,5,0.008792240219190717,tensor(0.5383),1.0,0.9,0.5733333333333334,0.00725973093494152,tensor(0.5067),1.0,0.95,0.6833333333333333
5,6,0.007873030196254452,tensor(0.5350),1.0,0.8866666666666667,0.5666666666666667,0.007089435951784253,tensor(0.5467),1.0,0.9633333333333334,0.6233333333333333
6,7,0.007718658074736595,tensor(0.5425),1.0,0.9333333333333333,0.58,0.007669882368451605,tensor(0.5033),1.0,0.93,0.62
7,8,0.00733541129467388,tensor(0.5508),1.0,0.94,0.5866666666666667,0.007288246883545071,tensor(0.5200),1.0,0.9433333333333334,0.6266666666666667
8,9,0.007177726741259297,tensor(0.5175),1.0,0.9533333333333334,0.5866666666666667,0.00787415999531125,tensor(0.5067),0.9966666666666667,0.92,0.61
9,10,0.007151081605503956,tensor(0.5092),1.0,0.98,0.6533333333333333,0.0077839957045701645,tensor(0.5000),1.0,0.92,0.5966666666666667
