,epochs,train_loss,train_similarities_acc,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_similarities_acc,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.01714117167610675,tensor(0.0090),0.986,0.684,0.086,0.008684275577528752,tensor(0.5340),0.999,0.828,0.205
1,2,0.008702833138406276,tensor(0.4322),0.998,0.778,0.164,0.005992052300349314,tensor(0.8090),1.0,0.892,0.279
2,3,0.006666866162791848,tensor(0.8210),1.0,0.856,0.248,0.004842543503160414,tensor(0.8880),1.0,0.92,0.353
3,4,0.005156751709757373,tensor(0.9590),1.0,0.902,0.306,0.004104062693530978,tensor(0.8970),1.0,0.947,0.382
4,5,0.0040905055087059735,tensor(0.9795),1.0,0.93,0.334,0.00386542038456173,tensor(0.8690),1.0,0.965,0.413
5,6,0.0035686066675698386,tensor(0.9837),1.0,0.946,0.406,0.004281153508520219,tensor(0.8470),1.0,0.934,0.32
6,7,0.003106014642282389,tensor(0.9900),1.0,0.972,0.444,0.003089318860700587,tensor(0.8150),1.0,0.975,0.504
7,8,0.0028513725561788304,tensor(0.9915),1.0,0.968,0.474,0.0033038741986092645,tensor(0.8260),1.0,0.971,0.444
8,9,0.0026231057178229093,tensor(0.9880),1.0,0.974,0.476,0.0032672043214261068,tensor(0.8180),1.0,0.973,0.448
9,10,0.002334844863158651,tensor(0.9893),1.0,0.986,0.558,0.004959363481695618,tensor(0.8420),1.0,0.925,0.275
10,11,0.0022639019805938006,tensor(0.9885),1.0,0.978,0.584,0.002817127089903806,tensor(0.8060),1.0,0.981,0.458
11,12,0.0022668737389612945,tensor(0.9877),1.0,0.982,0.546,0.0032500042461506384,tensor(0.7250),1.0,0.97,0.442
12,13,0.0019363743148278446,tensor(0.9772),1.0,0.986,0.642,0.0034382287839616766,tensor(0.8140),1.0,0.98,0.483
13,14,0.002013168233097531,tensor(0.9837),1.0,0.988,0.602,0.002997502984885614,tensor(0.7870),1.0,0.975,0.45
14,15,0.0018058708813623525,tensor(0.9845),1.0,0.994,0.624,0.002629155137912676,tensor(0.8070),1.0,0.986,0.531
15,16,0.0017623057297896593,tensor(0.9865),1.0,0.99,0.664,0.0024648284604554646,tensor(0.8280),1.0,0.988,0.561
16,17,0.0015886615984491072,tensor(0.9852),1.0,0.996,0.634,0.0025150130465108303,tensor(0.8230),1.0,0.986,0.56
17,18,0.0016205388145172036,tensor(0.9837),1.0,1.0,0.676,0.0027917720778496006,tensor(0.8160),1.0,0.974,0.494
18,19,0.0014517546432907694,tensor(0.9865),1.0,0.992,0.692,0.0023902413612049713,tensor(0.8640),1.0,0.988,0.575
19,20,0.0015053269219934009,tensor(0.9833),1.0,1.0,0.67,0.002764271049737545,tensor(0.8360),1.0,0.98,0.407
