,epochs,train_loss,train_similarities_acc,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_similarities_acc,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.013170588997503122,tensor(0.4892),1.0,0.8133333333333334,0.5466666666666666,0.008160472989936048,tensor(0.4833),1.0,0.9233333333333333,0.57
1,2,0.009666981045156717,tensor(0.4925),0.9933333333333333,0.8333333333333334,0.5333333333333333,0.008114923725370317,tensor(0.5000),1.0,0.92,0.5933333333333334
2,3,0.009095926187001169,tensor(0.4950),1.0,0.84,0.56,0.007713897238718345,tensor(0.4733),1.0,0.9433333333333334,0.5666666666666667
3,4,0.008359817372014125,tensor(0.5100),1.0,0.8666666666666667,0.5133333333333333,0.007028205761601688,tensor(0.5233),1.0,0.9466666666666667,0.6633333333333333
4,5,0.009100116398670555,tensor(0.5250),0.9933333333333333,0.88,0.5866666666666667,0.00774286784483896,tensor(0.4733),1.0,0.9433333333333334,0.6466666666666666
5,6,0.00795725820120424,tensor(0.4958),1.0,0.96,0.5866666666666667,0.007693822991568595,tensor(0.5167),1.0,0.94,0.5766666666666667
6,7,0.007558844480663538,tensor(0.5383),1.0,0.9466666666666667,0.6533333333333333,0.007120976657606661,tensor(0.5733),1.0,0.9433333333333334,0.65
7,8,0.0069525593224292,tensor(0.5092),1.0,0.9733333333333334,0.58,0.007631627494217052,tensor(0.5100),1.0,0.9266666666666666,0.5966666666666667
8,9,0.0068612399402384954,tensor(0.5533),1.0,0.9466666666666667,0.6333333333333333,0.006521576258043448,tensor(0.6133),1.0,0.9633333333333334,0.7133333333333334
9,10,0.006572406155367692,tensor(0.6825),1.0,0.94,0.6533333333333333,0.006099232132801263,tensor(0.6767),1.0,0.9566666666666667,0.6733333333333333
10,11,0.006259893947280944,tensor(0.6975),1.0,0.9333333333333333,0.6,0.005885197345667924,tensor(0.6900),1.0,0.9566666666666667,0.6533333333333333
11,12,0.005935619555724164,tensor(0.7617),1.0,0.9466666666666667,0.62,0.0054472348974619915,tensor(0.6933),1.0,0.9633333333333334,0.68
